projectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,status,replicate,length_mm,lengthnotes,identificationnotes,length_category,h2otemp,do_mgl,do_percent,salinity,conductivity
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Cymatogaster aggregata,shiner surfperch,native,2.0,53.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Syngnathus leptorhynchus,bay pipefish,native,1.0,193.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Syngnathus leptorhynchus,bay pipefish,native,2.0,225.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,1,Clevelandia ios,arrow goby,native,1.0,37.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,2,Clevelandia ios,arrow goby,native,1.0,47.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,1.0,223.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,2.0,192.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,3.0,169.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,4.0,199.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,5.0,148.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,6.0,143.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,7.0,121.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,8.0,158.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,9.0,143.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,10.0,81.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,1.0,98.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,2.0,83.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,3.0,82.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,4.0,90.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,5.0,79.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,6.0,72.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,7.0,67.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,8.0,44.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,9.0,44.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,1.0,44.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,2.0,39.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Clevelandia ios,arrow goby,native,1.0,41.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,1.0,51.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,2.0,63.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,3.0,46.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1.0,85.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2.0,77.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,3.0,76.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,4.0,46.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,5.0,67.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,6.0,53.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,7.0,41.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,8.0,72.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,9.0,41.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,10.0,53.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Clevelandia ios,arrow goby,native,1.0,44.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,1.0,95.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,2.0,69.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,3.0,104.0,,,Large,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,4.0,46.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,5.0,40.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,6.0,71.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,7.0,34.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,8.0,68.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,9.0,41.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,10.0,69.0,,,Medium,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,1.0,46.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,2.0,46.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,3.0,32.0,,,Small,14.233333333333334,8.2925,101.31666666666666,33.58833333333333,40832.916666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,1.0,42.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,2.0,38.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,3.0,45.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,4.0,42.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1.0,48.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2.0,50.0,,,Medium,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Clevelandia ios,arrow goby,native,1.0,43.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Clevelandia ios,arrow goby,native,2.0,47.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,1.0,67.0,,,Medium,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,2.0,67.0,,,Medium,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,3.0,50.0,,,Medium,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,4.0,49.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,5.0,64.0,,,Medium,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,6.0,43.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Clevelandia ios,arrow goby,native,1.0,42.0,,,Small,16.416666666666668,6.97,224.85,33.705,42855.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Leptocottus armatus,Pacific staghorn sculpin,native,1.0,151.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,1.0,53.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,2.0,72.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,3.0,63.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,4.0,66.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,1.0,37.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,2.0,22.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,3.0,24.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Hemigrapsus oregonensis,yellow shore crab,native,1.0,22.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,1.0,61.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,2.0,58.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,3.0,48.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,4.0,59.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,5.0,50.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,6.0,54.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,7.0,49.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,8.0,55.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,9.0,60.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,10.0,48.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1.0,182.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2.0,159.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,3.0,166.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,4.0,164.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,5.0,154.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,6.0,155.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,7.0,163.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Acanthogobius flavimanus,yellowfin goby,invasive,1.0,120.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Leptocottus armatus,Pacific staghorn sculpin,native,1.0,117.0,,,Large,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Clevelandia ios,arrow goby,native,1.0,47.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Gasterosteus aculeatus,threespine stickleback,native,1.0,39.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Gasterosteus aculeatus,threespine stickleback,native,2.0,18.0,,,Small,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,1.0,59.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,2.0,69.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,3.0,68.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,4.0,55.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,5.0,50.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,6.0,57.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,7.0,55.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,8.0,59.0,,,Medium,17.033333333333335,6.385000000000001,80.25,30.705,39957.666666666664
