projectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,status,replicate,length_mm,lengthnotes,identificationnotes
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,8,158,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,9,143,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Syngnathus leptorhynchus,bay pipefish,native,10,81,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,1,98,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,2,83,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,3,82,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,4,90,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,5,79,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,6,72,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,7,67,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,8,44,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Atherinops affinis,topsmelt silverside,native,9,44,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,1,44,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Gasterosteus aculeatus,threespine stickleback,native,2,39,,
EMPA,CC-ELK,Elkhorn Slough,1,10/29/2024,beach seine,5,Clevelandia ios,arrow goby,native,1,41,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,1,51,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,2,63,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,1,Atherinops affinis,topsmelt silverside,native,3,46,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1,85,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2,77,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,3,76,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,4,46,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,5,67,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,6,53,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,7,41,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,8,72,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,9,41,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,10,53,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,2,Clevelandia ios,arrow goby,native,1,44,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,1,95,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,2,69,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,3,104,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,4,46,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,5,40,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,6,71,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,7,34,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,8,68,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,9,41,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,10,69,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,1,46,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,2,46,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,3,Clevelandia ios,arrow goby,native,3,32,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,4,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ELK,Elkhorn Slough,2,10/29/2024,beach seine,5,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,1,42,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,2,38,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,3,45,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,1,Clevelandia ios,arrow goby,native,4,42,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1,48,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2,50,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Clevelandia ios,arrow goby,native,1,43,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,2,Clevelandia ios,arrow goby,native,2,47,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,1,67,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,2,67,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,3,50,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,4,49,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,5,64,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,6,43,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,3,Clevelandia ios,arrow goby,native,1,42,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,4,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-ELK,Elkhorn Slough,3,10/28/2024,beach seine,5,Not recorded,Not recorded,Not recorded,-88,-88,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Leptocottus armatus,Pacific staghorn sculpin,native,1,151,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,1,53,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,2,72,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,3,63,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Cottus asper,prickly sculpin,native,4,66,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,1,37,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,2,22,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Gasterosteus aculeatus,threespine stickleback,native,3,24,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Hemigrapsus oregonensis,yellow shore crab,native,1,22,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,1,61,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,2,58,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,3,48,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,4,59,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,5,50,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,6,54,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,7,49,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,8,55,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,9,60,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,1,Carcinus maenas,European green crab,invasive,10,48,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,1,182,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,2,159,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,3,166,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,4,164,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,5,154,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,6,155,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Atherinops affinis,topsmelt silverside,native,7,163,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Acanthogobius flavimanus,yellowfin goby,invasive,1,120,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Leptocottus armatus,Pacific staghorn sculpin,native,1,117,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Clevelandia ios,arrow goby,native,1,47,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Gasterosteus aculeatus,threespine stickleback,native,1,39,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Gasterosteus aculeatus,threespine stickleback,native,2,18,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,1,59,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,2,69,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,3,68,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,4,55,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,5,50,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,6,57,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,7,55,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,8,59,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,9,61,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,2,Carcinus maenas,European green crab,invasive,10,55,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,1,40,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,2,37,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,3,46,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,4,34,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,5,39,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,6,40,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,7,41,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,8,31,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,9,36,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Gasterosteus aculeatus,threespine stickleback,native,10,34,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,1,56,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,2,47,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,3,39,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,4,32,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,5,46,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,6,61,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,7,50,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,8,42,,
EMPA,CC-MCS,Moro Cojo Slough,1,9/30/2024,beach seine,3,Atherinops affinis,topsmelt silverside,native,9,41,,
